,country,video_num,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
232,니제르,0,,,,,
233,앙골라,0,,,,,
234,차드,0,,,,,
235,적도기니,0,,,,,
236,중앙 아프리카 공화국,0,,,,,
237,지부티,0,,,,,
238,세이셸,0,,,,,
239,보츠와나,0,,,,,
240,나미비아,0,,,,,
241,카보베르데,0,,,,,
242,감비아,0,,,,,
243,토고,1,24882.0,371.0,5.0,0.0,27.0
244,카나리아 군도,0,,,,,
245,르완다,0,,,,,
246,코모로,0,,,,,
247,상투메 프린시페,0,,,,,
248,모잠비크,0,,,,,
249,베냉,0,,,,,
250,서사하라,0,,,,,
251,부르키나파소,0,,,,,
252,세인트 헬레나,0,,,,,
253,레위니옹,0,,,,,
254,에리트리아,0,,,,,
255,아시아,50,296356.56,3871.08,119.24,0.0,628.6
256,동아시아,4,32789.75,974.0,22.5,0.0,69.75
257,동남아시아,2,243877.0,7656.5,204.0,0.0,569.0
258,서아시아,0,,,,,
259,중동,2,216798.5,6734.0,124.5,0.0,687.5
260,아랍,2,28659.0,1126.0,28.0,0.0,56.0
261,아프리카,20,404666.65,5557.5,287.55,0.0,620.6
262,북아프리카,0,,,,,
263,유럽,48,149796.125,3109.2708333333335,89.4375,0.0,263.5208333333333
264,서유럽,0,,,,,
265,동유럽,1,138435.0,3509.0,119.0,0.0,107.0
266,남유럽,0,,,,,
267,북유럽,2,106510.5,3940.5,37.0,0.0,192.5
268,오세아니아,0,,,,,
269,아메리카,3,679761.3333333334,8256.333333333334,305.3333333333333,0.0,662.6666666666666
270,북아메리카,0,,,,,
271,남아메리카,0,,,,,
